DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,602,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,809,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,649,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,545,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,598,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,660,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,692,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,685,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,493,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,937,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,744,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,605,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,612,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,693,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,697,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,721,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,686,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,711,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,653,0,7,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,827,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,656,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,730,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,624,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,822,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,604,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,848,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,843,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,808,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,862,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,783,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,814,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,779,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,652,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,712,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,661,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,813,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,856,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,715,100,4,z,m
