TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,300,647,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,6,350,647,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,300,647,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,100,647,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,150,647,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,350,647,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,19,350,647,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,30,100,647,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,100,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,648,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,100,648,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,150,648,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,648,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,350,648,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,350,648,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,300,648,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,300,648,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,150,648,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,150,648,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,150,648,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,100,648,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,350,648,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,648,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,300,648,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,648,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,648,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,648,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,648,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,150,648,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,150,648,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,100,648,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,100,648,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,648,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,7,100,648,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,350,648,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,300,648,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,300,648,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,648,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,350,648,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,350,648,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,350,648,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,649,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,649,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,649,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,649,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,350,649,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,649,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,649,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,150,649,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,300,649,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,300,649,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,649,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,100,649,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,150,649,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,300,649,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,350,649,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,100,649,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,19,150,649,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,649,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,26,350,649,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,350,649,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,30,300,649,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,150,649,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,20,100,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,23,150,649,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,150,649,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,100,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,649,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,649,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,150,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,150,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,300,649,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,150,649,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,7,100,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,100,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,100,649,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,300,649,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,150,649,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,150,649,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,150,649,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,300,649,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,300,649,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,650,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,650,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,650,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,23,100,650,m,0,SHORT,1
